日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
112/01/03,446.00,453.50,443.00,453.0,+4.50,"22,581"
112/01/04,449.50,455.00,448.50,449.5,-3.50,"18,233"
112/01/05,459.00,459.50,455.00,458.5,+9.00,"20,752"
112/01/06,455.00,459.50,455.00,458.5, 0.00,"16,635"
112/01/09,468.00,481.00,467.50,481.0,+22.50,"57,305"
112/01/10,486.00,487.00,483.00,486.0,+5.00,"36,975"
112/01/11,487.00,488.00,482.00,484.5,-1.50,"25,457"
112/01/12,487.50,488.00,484.00,486.5,+2.00,"25,780"
112/01/13,507.00,509.00,499.00,500.0,+13.50,"93,121"
112/01/16,506.00,508.00,503.00,505.0,+5.00,"48,051"
112/01/17,504.00,504.00,499.50,503.0,-2.00,"27,930"
112/01/30,542.00,543.00,534.00,543.0,+40.00,"153,125"
112/01/31,537.00,538.00,521.00,522.0,-21.00,"74,279"
112/02/01,532.00,533.00,522.00,530.0,+8.00,"31,487"
112/02/02,538.00,542.00,537.00,540.0,+10.00,"45,495"
112/02/03,540.00,542.00,536.00,542.0,+2.00,"39,674"
112/02/06,532.00,533.00,526.00,526.0,-16.00,"46,279"
112/02/07,524.00,528.00,522.00,523.0,-3.00,"28,519"
112/02/08,538.00,540.00,534.00,540.0,+17.00,"43,495"
112/02/09,540.00,540.00,536.00,540.0, 0.00,"19,698"
112/02/10,544.00,546.00,541.00,545.0,+5.00,"40,984"
112/02/13,544.00,544.00,538.00,541.0,-4.00,"22,431"
112/02/14,544.00,546.00,543.00,545.0,+4.00,"27,983"
112/02/15,526.00,532.00,522.00,525.0,-20.00,"103,433"
112/02/16,528.00,531.00,524.00,528.0,+3.00,"27,033"
112/02/17,524.00,524.00,516.00,518.0,-10.00,"55,965"
112/02/20,514.00,519.00,511.00,517.0,-1.00,"25,898"
112/02/21,515.00,517.00,513.00,516.0,-1.00,"27,200"
112/02/22,506.00,509.00,505.00,507.0,-9.00,"47,843"
112/02/23,512.00,521.00,510.00,518.0,+11.00,"26,552"
112/02/24,524.00,525.00,511.00,511.0,-7.00,"29,612"
112/03/01,504.00,522.00,504.00,522.0,+11.00,"31,738"
112/03/02,519.00,520.00,515.00,519.0,-3.00,"14,320"
112/03/03,524.00,525.00,516.00,516.0,-3.00,"22,160"
112/03/06,520.00,524.00,517.00,521.0,+5.00,"20,678"
112/03/07,521.00,526.00,519.00,524.0,+3.00,"20,595"
112/03/08,521.00,523.00,518.00,521.0,-3.00,"20,504"
112/03/09,525.00,526.00,522.00,522.0,+1.00,"16,497"
112/03/10,515.00,516.00,511.00,513.0,-9.00,"46,216"
112/03/13,513.00,518.00,509.00,516.0,+3.00,"24,150"
112/03/14,511.00,514.00,510.00,510.0,-6.00,"24,848"
112/03/15,515.00,516.00,510.00,511.0,+1.00,"21,075"
112/03/16,505.00,510.00,504.00,505.0,X0.00,"33,493"
112/03/17,516.00,518.00,513.00,518.0,+13.00,"21,217"
112/03/20,517.00,518.00,510.00,512.0,-6.00,"17,709"
112/03/21,515.00,517.00,512.00,517.0,+5.00,"14,094"
112/03/22,524.00,533.00,524.00,533.0,+16.00,"56,483"
112/03/23,528.00,539.00,528.00,538.0,+5.00,"35,313"
112/03/24,536.00,539.00,535.00,539.0,+1.00,"24,762"
112/03/27,533.00,536.00,531.00,531.0,-8.00,"17,484"
112/03/28,525.00,530.00,524.00,525.0,-6.00,"20,744"
112/03/29,533.00,533.00,525.00,530.0,+5.00,"15,653"
112/03/30,536.00,537.00,531.00,535.0,+5.00,"18,171"
112/03/31,538.00,538.00,532.00,533.0,-2.00,"15,962"
112/04/06,530.00,531.00,526.00,530.0,-3.00,"19,144"
112/04/07,535.00,535.00,529.00,531.0,+1.00,"10,285"
112/04/10,533.00,533.00,528.00,529.0,-2.00,"11,698"
112/04/11,522.00,527.00,522.00,524.0,-5.00,"24,432"
112/04/12,523.00,524.00,517.00,520.0,-4.00,"37,158"
112/04/13,515.00,517.00,510.00,510.0,-10.00,"64,834"
112/04/14,516.00,520.00,513.00,516.0,+6.00,"19,962"
112/04/17,519.00,520.00,514.00,520.0,+4.00,"17,444"
112/04/18,518.00,520.00,514.00,515.0,-5.00,"17,087"
112/04/19,517.00,518.00,509.00,510.0,-5.00,"43,281"
112/04/20,512.00,516.00,510.00,513.0,+3.00,"16,627"
112/04/21,520.00,520.00,510.00,511.0,-2.00,"22,738"
112/04/24,505.00,510.00,504.00,507.0,-4.00,"31,635"
112/04/25,504.00,505.00,498.00,498.0,-9.00,"92,009"
112/04/26,498.00,498.50,491.00,491.5,-6.50,"58,580"
112/04/27,491.00,495.00,489.00,493.5,+2.00,"47,699"
112/04/28,498.50,502.00,498.00,502.0,+8.50,"23,746"
112/05/02,500.00,502.00,496.50,501.0,-1.00,"18,247"
112/05/03,496.00,498.00,495.00,496.0,-5.00,"25,658"
112/05/04,497.00,499.50,496.00,498.0,+2.00,"14,801"
112/05/05,500.00,502.00,498.50,500.0,+2.00,"10,944"
112/05/08,509.00,509.00,502.00,504.0,+4.00,"13,709"
112/05/09,507.00,510.00,505.00,510.0,+6.00,"17,452"
112/05/10,508.00,508.00,500.00,503.0,-7.00,"26,320"
112/05/11,506.00,506.00,498.50,499.0,-4.00,"20,237"
112/05/12,496.00,500.00,495.00,496.0,-3.00,"27,989"
112/05/15,497.00,499.50,494.50,495.5,-0.50,"16,896"
112/05/16,503.00,508.00,500.00,505.0,+9.50,"22,355"
112/05/17,508.00,521.00,506.00,519.0,+14.00,"52,663"
112/05/18,533.00,536.00,526.00,530.0,+11.00,"50,359"
112/05/19,535.00,535.00,529.00,532.0,+2.00,"39,104"
112/05/22,532.00,533.00,529.00,531.0,-1.00,"18,796"
112/05/23,530.00,531.00,525.00,530.0,-1.00,"15,826"
112/05/24,527.00,528.00,524.00,525.0,-5.00,"16,339"
112/05/25,542.00,545.00,537.00,543.0,+18.00,"80,930"
112/05/26,568.00,568.00,563.00,566.0,+23.00,"131,612"
112/05/29,574.00,574.00,564.00,568.0,+2.00,"52,250"
112/05/30,566.00,568.00,563.00,566.0,-2.00,"32,956"
112/05/31,560.00,562.00,551.00,558.0,-8.00,"39,679"
112/06/01,550.00,554.00,550.00,551.0,-7.00,"25,441"
112/06/02,559.00,564.00,557.00,562.0,+11.00,"30,644"
112/06/05,560.00,560.00,555.00,555.0,-7.00,"20,211"
112/06/06,554.00,562.00,553.00,560.0,+5.00,"15,551"
112/06/07,561.00,568.00,560.00,568.0,+8.00,"29,548"
112/06/08,562.00,568.00,555.00,559.0,-9.00,"27,238"
112/06/09,561.00,566.00,561.00,565.0,+6.00,"16,713"
112/06/12,574.00,574.00,571.00,574.0,+9.00,"38,130"
112/06/13,593.00,594.00,589.00,593.0,+19.00,"84,903"
112/06/14,590.00,591.00,587.00,590.0,-3.00,"28,171"
112/06/15,590.00,593.00,587.00,591.0,X0.00,"28,303"
112/06/16,590.00,590.00,584.00,589.0,-2.00,"27,450"
112/06/19,583.00,585.00,582.00,583.0,-6.00,"18,979"
112/06/20,579.00,585.00,579.00,583.0, 0.00,"17,658"
112/06/21,582.00,585.00,578.00,581.0,-2.00,"25,132"
112/06/26,576.00,578.00,574.00,574.0,-7.00,"28,167"
112/06/27,570.00,575.00,569.00,572.0,-2.00,"20,736"
112/06/28,579.00,579.00,571.00,574.0,+2.00,"15,939"
112/06/29,578.00,580.00,570.00,573.0,-1.00,"17,649"
112/06/30,570.00,576.00,568.00,576.0,+3.00,"20,529"
112/07/03,578.00,580.00,576.00,579.0,+3.00,"15,659"
112/07/04,585.00,585.00,580.00,585.0,+6.00,"18,848"
112/07/05,589.00,589.00,579.00,582.0,-3.00,"16,504"
112/07/06,573.00,574.00,565.00,565.0,-17.00,"60,108"
112/07/07,565.00,572.00,563.00,565.0, 0.00,"21,855"
112/07/10,567.00,573.00,565.00,565.0, 0.00,"17,792"
112/07/11,574.00,577.00,570.00,577.0,+12.00,"17,795"
112/07/12,574.00,578.00,572.00,578.0,+1.00,"14,426"
112/07/13,587.00,590.00,585.00,585.0,+7.00,"32,540"
112/07/14,589.00,591.00,587.00,591.0,+6.00,"26,789"
112/07/17,588.00,591.00,587.00,591.0, 0.00,"18,226"
112/07/18,587.00,588.00,580.00,581.0,-10.00,"31,079"
112/07/19,584.00,587.00,579.00,581.0, 0.00,"20,069"
112/07/20,580.00,584.00,578.00,579.0,-2.00,"19,382"
