日期,縣市,農、牧、狩獵售電量(度),農、牧、狩獵抄表戶數,農牧狩獵用電佔比(%),林業及伐木業售電量(度),林業及伐木業抄表戶數,林業及伐木業用電佔比(%),漁業售電量(度),漁業抄表戶數,漁業用電佔比(%),合計售電量(度)
2023年05月,新北市,1412368,673,0.008,263732,83,0.4091,272423,90,0.0035,1948523
2023年05月,台北市,198645,80,0.0011,640,1,0.001,47769,3,0.0006,247054
2023年05月,桃園市,3484133,934,0.0196,9846,5,0.0153,514692,105,0.0066,4008671
2023年05月,台中市,13552827,3590,0.0763,45520,35,0.0706,113786,49,0.0015,13712133
2023年05月,台南市,22142409,4011,0.1247,39816,14,0.0618,11492176,6955,0.1479,33674401
2023年05月,高雄市,9839786,8468,0.0554,116669,41,0.181,10525875,6018,0.1355,20482330
2023年05月,宜蘭縣,2147434,1009,0.0121,14279,5,0.0221,3297046,1141,0.0424,5458759
2023年05月,新竹縣,1444393,523,0.0081,78840,5,0.1223,209964,79,0.0027,1733197
2023年05月,苗栗縣,2409223,1141,0.0136,1760,2,0.0027,69823,36,0.0009,2480806
2023年05月,彰化縣,34103798,19432,0.192,26039,27,0.0404,3075858,2511,0.0396,37205695
2023年05月,南投縣,9184145,3149,0.0517,18757,10,0.0291,33295,20,0.0004,9236197
2023年05月,雲林縣,23911212,7643,0.1346,5093,4,0.0079,9531896,7233,0.1227,33448201
2023年05月,嘉義縣,16518660,11209,0.093,2170,4,0.0034,6437512,6442,0.0829,22958342
2023年05月,屏東縣,32974396,18578,0.1857,20025,19,0.0311,29412597,8584,0.3787,62407018
2023年05月,台東縣,1496183,1003,0.0084,0,0,0,929655,182,0.012,2425838
2023年05月,花蓮縣,1321900,902,0.0074,1395,3,0.0022,816025,161,0.0105,2139320
2023年05月,基隆市,6326,4,0,0,0,0,433875,4,0.0056,440201
2023年05月,新竹市,640485,209,0.0036,0,0,0,134963,20,0.0017,775448
2023年05月,嘉義市,528216,410,0.003,0,0,0,8698,3,0.0001,536914
