日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2023年05月,新北市,567767747,0.3565,533189085,0.3348,1948523,0.0012,489545329,0.3074,1592450684,0.0864
2023年05月,台北市,354080466,0.2991,774260350,0.6541,247054,0.0002,55199157,0.0466,1183787027,0.0642
2023年05月,桃園市,323946570,0.1438,359318708,0.1595,4008671,0.0018,1566026364,0.695,2253300313,0.1222
2023年05月,台中市,426498402,0.1565,486080163,0.1784,13712133,0.005,1798108796,0.66,2724399494,0.1477
2023年05月,台南市,290166007,0.105,267689608,0.0969,33674401,0.0122,2171387529,0.7859,2762917545,0.1498
2023年05月,高雄市,465965144,0.185,472627079,0.1877,20482330,0.0081,1559478110,0.6192,2518552663,0.1366
2023年05月,宜蘭縣,63344539,0.2305,69867530,0.2542,5458759,0.0199,136152718,0.4954,274823546,0.0149
2023年05月,新竹縣,86131744,0.0875,85281461,0.0866,1733197,0.0018,811306715,0.8241,984453117,0.0534
2023年05月,苗栗縣,76958019,0.1259,58644231,0.0959,2480806,0.0041,473277849,0.7741,611360905,0.0332
2023年05月,彰化縣,175200038,0.1982,187132045,0.2117,37205695,0.0421,484404390,0.548,883942168,0.0479
2023年05月,南投縣,60035596,0.2713,54198728,0.2449,9236197,0.0417,97798648,0.442,221269169,0.012
2023年05月,雲林縣,106223878,0.2303,74687022,0.1619,33448201,0.0725,246846357,0.5352,461205458,0.025
2023年05月,嘉義縣,71752706,0.2693,48764565,0.183,22958342,0.0862,122931448,0.4614,266407061,0.0144
2023年05月,屏東縣,131018289,0.3181,103536277,0.2514,62407018,0.1515,114913060,0.279,411874644,0.0223
2023年05月,台東縣,28893789,0.3837,33550973,0.4456,2425838,0.0322,10428912,0.1385,75299512,0.0041
2023年05月,花蓮縣,46079720,0.2559,60911195,0.3383,2139320,0.0119,70927074,0.3939,180057309,0.0098
