日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2023年05月,新北市,20604608,517,0.1743,35593,7,0.0394,1633497,679,0.0563,8614955,89,0.0793,3980,1,0.0365,182943,64,0.0567,11468295,26182,0.0882,15685348,32,0.0818,0,0,0,11920,1,0.0278,58241139
2023年05月,台北市,34165633,449,0.2891,33360,11,0.0369,911599,348,0.0314,32817236,206,0.302,11260,2,0.1033,781570,297,0.2424,7838527,25015,0.0603,48536734,110,0.2531,42934,3,0.8875,192335,196,0.4489,125331188
2023年05月,桃園市,6915061,218,0.0585,24129,3,0.0267,2083249,285,0.0718,7185901,55,0.0661,0,0,0,184658,43,0.0573,8446262,17755,0.065,20018276,25,0.1044,0,0,0,616,3,0.0014,44858152
2023年05月,台中市,9285714,306,0.0786,100517,20,0.1113,4372026,478,0.1506,10855083,128,0.0999,7921,4,0.0727,119011,54,0.0369,17661478,23728,0.1359,18622389,40,0.0971,0,0,0,13774,4,0.0321,61037913
2023年05月,台南市,8234914,252,0.0697,27980,21,0.031,2746980,1091,0.0946,5738805,117,0.0528,1080,1,0.0099,167519,203,0.052,14971134,12430,0.1152,11352184,23,0.0592,2440,1,0.0504,9198,6,0.0215,43252234
2023年05月,高雄市,17826416,490,0.1508,27417,26,0.0304,2508520,638,0.0864,15405527,139,0.1418,11247,11,0.1032,135733,125,0.0421,12953050,19341,0.0996,28126362,50,0.1467,3000,2,0.062,9446,7,0.022,77006718
2023年05月,宜蘭縣,1266039,50,0.0107,98081,12,0.1086,1058179,231,0.0365,1576386,35,0.0145,3775,2,0.0346,186744,124,0.0579,4916129,5377,0.0378,2004663,7,0.0105,0,0,0,2106,2,0.0049,11112102
2023年05月,新竹縣,2066065,85,0.0175,21055,2,0.0233,751221,156,0.0259,1148929,24,0.0106,0,0,0,7034,4,0.0022,5124523,4710,0.0394,1997436,8,0.0104,0,0,0,3116,2,0.0073,11119379
2023年05月,苗栗縣,1186714,66,0.01,131472,18,0.1456,1322836,765,0.0456,1680601,38,0.0155,0,0,0,74928,106,0.0232,4687729,5766,0.0361,1797992,4,0.0094,0,0,0,60440,4,0.1411,10942712
2023年05月,彰化縣,2518441,110,0.0213,42026,10,0.0465,2285531,648,0.0787,2803926,45,0.0258,0,0,0,151828,102,0.0471,8949817,11868,0.0689,3177810,10,0.0166,0,0,0,13646,6,0.0319,19943025
2023年05月,南投縣,1198089,63,0.0101,2080,1,0.0023,1025152,185,0.0353,2258208,59,0.0208,4373,3,0.0401,76162,44,0.0236,4230756,4939,0.0325,1570139,3,0.0082,0,0,0,0,0,0,10364959
2023年05月,雲林縣,1203787,54,0.0102,27424,15,0.0304,1697027,518,0.0585,1315666,37,0.0121,0,0,0,78365,70,0.0243,5586847,8787,0.043,4546495,8,0.0237,0,0,0,40,1,0.0001,14455651
2023年05月,嘉義縣,1113495,72,0.0094,6888,5,0.0076,1681121,550,0.0579,643906,22,0.0059,22400,1,0.2056,50199,51,0.0156,4181508,4285,0.0322,5230924,9,0.0273,0,0,0,1002,2,0.0023,12931443
