日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2023年05月,新北市,123318784,167,0.0997,180193804,11520,0.1355,229676497,112022,0.1733,533189085
2023年05月,台北市,344357572,437,0.2784,238609343,13991,0.1795,191293435,95468,0.1443,774260350
2023年05月,桃園市,132489035,170,0.1071,104987409,5646,0.079,121842264,59156,0.0919,359318708
2023年05月,台中市,120671437,175,0.0976,173465127,11101,0.1305,191943599,96388,0.1448,486080163
2023年05月,台南市,66523110,79,0.0538,104955717,7836,0.0789,96210781,51271,0.0726,267689608
2023年05月,高雄市,163524626,183,0.1322,166905989,10609,0.1255,142196464,77766,0.1073,472627079
2023年05月,宜蘭縣,13489643,23,0.0109,27187317,1588,0.0204,29190570,17863,0.022,69867530
2023年05月,新竹縣,22889144,28,0.0185,30328519,2112,0.0228,32063798,14891,0.0242,85281461
2023年05月,苗栗縣,11347732,16,0.0092,20715249,1385,0.0156,26581250,15987,0.0201,58644231
2023年05月,彰化縣,83514144,19,0.0675,52485070,5692,0.0395,51132831,32390,0.0386,187132045
2023年05月,南投縣,7990664,18,0.0065,23716265,1727,0.0178,22491799,13596,0.017,54198728
2023年05月,雲林縣,11743240,19,0.0095,31304798,2605,0.0235,31638984,22334,0.0239,74687022
2023年05月,嘉義縣,13798791,11,0.0112,15640787,1445,0.0118,19324987,13459,0.0146,48764565
2023年05月,屏東縣,22934506,38,0.0185,42175884,3483,0.0317,38425887,23101,0.029,103536277
2023年05月,台東縣,6705900,11,0.0054,15297497,958,0.0115,11547576,7647,0.0087,33550973
2023年05月,花蓮縣,18437240,25,0.0149,20964055,1309,0.0158,21509900,12628,0.0162,60911195
2023年05月,基隆市,8731821,17,0.0071,18351396,1194,0.0138,14963856,8074,0.0113,42047073
2023年05月,新竹市,48789070,54,0.0394,27116671,1965,0.0204,25756685,12509,0.0194,101662426
2023年05月,嘉義市,10183860,17,0.0082,20161843,1248,0.0152,15782777,9742,0.0119,46128480
2023年05月,澎湖縣,3469400,6,0.0028,8431127,501,0.0063,6512170,4557,0.0049,18412697
2023年05月,金門縣,2045000,5,0.0017,4557225,528,0.0034,4062001,3111,0.0031,10664226
2023年05月,連江縣,0,0,0,1960679,192,0.0015,1079717,664,0.0008,3040396
2023年05月,合計,1236954719,1518,1,1329511771,88635,1,1325227828,704624,1,3891694318
2023年04月,新北市,105815295,166,0.09875651,158672943,11538,0.136618834,189005131,98794,0.161405998,453493369
2023年04月,台北市,296221585,442,0.276461074,207249928,13982,0.178444055,155459231,87762,0.132758578,658930744
2023年04月,桃園市,113554551,169,0.105979492,90795931,5642,0.078176115,117284901,60667,0.100158585,321635383
2023年04月,台中市,102271138,175,0.095448779,152613082,11098,0.131401239,172114866,91405,0.146982104,426999086
2023年04月,台南市,57235882,79,0.05341776,90909725,7832,0.078274092,88673786,49915,0.075725357,236819393
2023年04月,高雄市,144008702,185,0.134402091,144114514,10541,0.124083895,124746693,73833,0.106530783,412869909
2023年04月,宜蘭縣,11757016,23,0.010972723,24412761,1584,0.021019607,24871620,15487,0.021239787,61041397
2023年04月,新竹縣,19168564,27,0.017889857,27610239,2111,0.023772665,32995572,16929,0.028177453,79774375
2023年04月,苗栗縣,9526968,16,0.008891438,18152750,1384,0.015629681,24064980,14577,0.020550935,51744698
2023年04月,彰化縣,77960376,19,0.072759753,46801971,5684,0.040296919,51350741,35202,0.043852342,176113088
2023年04月,南投縣,6813588,17,0.006359063,20770532,1721,0.017883615,23334274,15174,0.019926929,50918394
2023年04月,雲林縣,10238292,19,0.00955531,27413207,2602,0.023603018,25511840,18447,0.02178652,63163339
2023年04月,嘉義縣,11303845,12,0.010549782,13278568,1435,0.011432967,17027308,12101,0.014540926,41609721
2023年04月,屏東縣,20079638,38,0.018740155,37183982,3484,0.032015744,35700162,21854,0.03048711,92963782
2023年04月,台東縣,5992800,11,0.005593029,13453902,954,0.011583931,10657117,8563,0.009100931,30103819
2023年04月,花蓮縣,16471431,25,0.015372646,18837158,1305,0.016218963,20196728,12386,0.017247537,55505317
2023年04月,基隆市,7524188,17,0.00702226,15887967,1194,0.013679683,13973951,7929,0.01193343,37386106
2023年04月,新竹市,41843103,54,0.03905181,23628963,1959,0.02034475,23053211,11326,0.019686908,88525277
2023年04月,嘉義市,8852888,16,0.008262325,16962530,1253,0.014604891,12872798,8755,0.010993071,38688216
2023年04月,澎湖縣,3126600,6,0.002918029,6963735,502,0.005995839,3977205,2968,0.003396441,14067540
2023年04月,金門縣,1710200,5,0.001596115,3890087,528,0.0033494,3016686,2623,0.00257618,8616973
2023年04月,連江縣,0,0,0,1823556,191,0.001570098,1103187,763,0.000942096,2926743
2023年04月,合計,1071476650,1521,1,1161428031,88524,1,1170991988,667460,1,3403896669
2023年03月,新北市,105528573,165,0.0988,154048531,11520,0.1378,211566442,111445,0.1731,471143546
2023年03月,台北市,305967875,443,0.2864,204926398,13999,0.1833,172403470,95561,0.141,683297743
2023年03月,桃園市,112516218,169,0.1053,89752447,5631,0.0803,114751200,58904,0.0939,317019865
2023年03月,台中市,99819781,173,0.0934,145885095,11066,0.1305,176571544,96073,0.1444,422276420
2023年03月,台南市,54478858,80,0.051,83938590,7806,0.0751,86763549,51027,0.071,225180997
2023年03月,高雄市,136777793,184,0.128,135731296,10534,0.1214,126026724,77638,0.1031,398535813
2023年03月,宜蘭縣,11391915,23,0.0107,23680396,1587,0.0212,28379303,17675,0.0232,63451614
2023年03月,新竹縣,19207120,27,0.018,26460066,2098,0.0237,30282472,14789,0.0248,75949658
2023年03月,苗栗縣,9315212,16,0.0087,17782640,1381,0.0159,26212819,15921,0.0214,53310671
2023年03月,彰化縣,80718169,20,0.0756,44290725,5680,0.0396,48678497,32201,0.0398,173687391
2023年03月,南投縣,6711656,17,0.0063,20181426,1710,0.0181,21722494,13462,0.0178,48615576
2023年03月,雲林縣,10043128,19,0.0094,25703998,2601,0.023,29408527,22288,0.0241,65155653
2023年03月,嘉義縣,10494959,12,0.0098,12613695,1418,0.0113,18518001,13413,0.0151,41626655
2023年03月,屏東縣,19777196,38,0.0185,35012900,3470,0.0313,35504227,22984,0.029,90294323
2023年03月,台東縣,5910000,11,0.0055,12965940,957,0.0116,10758100,7552,0.0088,29634040
2023年03月,花蓮縣,16401015,25,0.0154,18345285,1308,0.0164,21527699,12519,0.0176,56273999
2023年03月,基隆市,7501344,17,0.007,15779867,1198,0.0141,14413675,8049,0.0118,37694886
2023年03月,新竹市,42832566,55,0.0401,22730021,1956,0.0203,23977162,12503,0.0196,89539749
2023年03月,嘉義市,8509573,16,0.008,15905311,1252,0.0142,14169254,9759,0.0116,38584138
2023年03月,澎湖縣,2673000,6,0.0025,6504351,500,0.0058,5663001,4537,0.0046,14840352
2023年03月,金門縣,1707600,5,0.0016,3828228,527,0.0034,4039003,3109,0.0033,9574831
2023年03月,連江縣,0,0,0,1897809,192,0.0017,1078749,663,0.0009,2976558
2023年03月,合計,1068283551,1521,1,1117965015,88391,1,1222415912,702072,1,3408664478
2023年02月,新北市,86670946,170,0.102,150473334,11516,0.1407,202394935,98605,0.1613,439539215
2023年02月,台北市,201340647,445,0.2371,188353510,13994,0.1762,165515323,87843,0.1319,555209480
2023年02月,桃園市,96150623,171,0.1132,87168181,5622,0.0815,128507789,60326,0.1024,311826593
2023年02月,台中市,84605506,176,0.0996,143837572,11061,0.1345,182373079,91138,0.1454,410816157
2023年02月,台南市,45353768,81,0.0534,82283757,7824,0.077,94475820,49777,0.0753,222113345
2023年02月,高雄市,115931292,184,0.1365,130873015,10513,0.1224,132414070,73612,0.1055,379218377
2023年02月,宜蘭縣,9975937,22,0.0117,13312652,1592,0.0125,27672363,15239,0.0221,50960952
2023年02月,新竹縣,18146552,28,0.0214,26787697,2075,0.0251,35076008,16854,0.028,80010257
2023年02月,苗栗縣,7848844,16,0.0092,17382094,1377,0.0163,26357953,14505,0.021,51588891
2023年02月,彰化縣,70484288,20,0.083,44166075,5672,0.0413,55338769,35142,0.0441,169989132
2023年02月,南投縣,5923080,17,0.007,20057610,1711,0.0188,25668513,15018,0.0205,51649203
2023年02月,雲林縣,8950644,20,0.0105,25735966,2597,0.0241,27935891,18390,0.0223,62622501
2023年02月,嘉義縣,8378525,12,0.0099,12411636,1418,0.0116,18188197,12050,0.0145,38978358
2023年02月,屏東縣,16913469,39,0.0199,34856743,3471,0.0326,37542652,21696,0.0299,89312864
2023年02月,台東縣,5004000,11,0.0059,12717526,957,0.0119,11514231,8537,0.0092,29235757
2023年02月,花蓮縣,14041393,25,0.0165,17964290,1314,0.0168,21784641,12260,0.0174,53790324
2023年02月,基隆市,6176376,17,0.0073,11587948,1199,0.0108,15178801,7908,0.0121,32943125
2023年02月,新竹市,36267979,55,0.0427,22224290,1962,0.0208,24338224,11340,0.0194,82830493
2023年02月,嘉義市,7430888,16,0.0087,15229191,1252,0.0142,13811061,8787,0.011,36471140
2023年02月,澎湖縣,2312600,6,0.0027,5982208,500,0.0056,4107275,2899,0.0033,12402083
2023年02月,金門縣,1442200,5,0.0017,3764310,526,0.0035,3314485,2618,0.0026,8520995
2023年02月,連江縣,0,0,0,1928548,191,0.0018,1127880,766,0.0009,3056428
2023年02月,合計,849349557,1536,1,1069098153,88344,1,1254637960,665310,1,3173085670
2023年01月,新北市,94732770,175,0.0935,158002109,11491,0.1363,242225606,111180,0.1734,494960485
2023年01月,台北市,323565228,445,0.3194,206351734,13982,0.178,198994183,95622,0.1424,728911145
2023年01月,桃園市,102529673,172,0.1012,90253603,5608,0.0779,129705724,58640,0.0928,322489000
2023年01月,台中市,89895049,176,0.0887,152029389,11049,0.1311,203494499,95763,0.1457,445418937
2023年01月,台南市,48464672,81,0.0478,85738702,7808,0.074,100337921,50839,0.0718,234541295
2023年01月,高雄市,123017045,185,0.1214,137849877,10554,0.1189,147037619,77428,0.1053,407904541
2023年01月,宜蘭縣,10537439,21,0.0104,35766134,1590,0.0309,31121549,17509,0.0223,77425122
2023年01月,新竹縣,19136220,26,0.0189,27580714,2065,0.0238,34024652,14620,0.0244,80741586
2023年01月,苗栗縣,8597228,16,0.0085,17932120,1377,0.0155,28918385,15875,0.0207,55447733
2023年01月,彰化縣,76422683,20,0.0754,48086324,5676,0.0415,55867669,32114,0.04,180376676
2023年01月,南投縣,6098616,17,0.006,21036453,1714,0.0181,24405492,13423,0.0175,51540561
2023年01月,雲林縣,9433467,21,0.0093,26561625,2589,0.0229,33524634,22185,0.024,69519726
2023年01月,嘉義縣,9106560,13,0.009,13077388,1420,0.0113,20977340,13348,0.015,43161288
2023年01月,屏東縣,17371335,38,0.0171,36315486,3465,0.0313,39743716,22834,0.0284,93430537
2023年01月,台東縣,5297100,11,0.0052,13225583,957,0.0114,11837949,7504,0.0085,30360632
2023年01月,花蓮縣,15005591,25,0.0148,18626275,1316,0.0161,23393276,12349,0.0167,57025142
2023年01月,基隆市,6640388,17,0.0066,19226104,1196,0.0166,15984214,8072,0.0114,41850706
2023年01月,新竹市,35098847,55,0.0346,23132525,1959,0.02,27061514,12398,0.0194,85292886
2023年01月,嘉義市,7767800,16,0.0077,15933316,1251,0.0137,16388903,9775,0.0117,40090019
2023年01月,澎湖縣,2862600,6,0.0028,6541987,498,0.0056,6312088,4429,0.0045,15716675
2023年01月,金門縣,1545200,5,0.0015,3956275,524,0.0034,4433564,3076,0.0032,9935039
2023年01月,連江縣,0,0,0,1981784,190,0.0017,1219783,667,0.0009,3201567
2023年01月,合計,1013125511,1541,1,1159205507,88279,1,1397010280,699650,1,3569341298
2022年12月,新北市,104214131,177,0.0999,169887813,11460,0.1362,213117668,98312,0.1595,487219613
2022年12月,台北市,291716661,447,0.2797,222386451,13968,0.1783,182679805,87833,0.1367,696782918
2022年12月,桃園市,112532239,171,0.1079,96726246,5605,0.0776,131677678,60079,0.0986,340936163
2022年12月,台中市,96448683,175,0.0925,166950877,11040,0.1339,193566844,90796,0.1449,456966404
2022年12月,台南市,53400234,81,0.0512,96671138,7801,0.0775,104304966,49450,0.0781,254376338
2022年12月,高雄市,135848221,185,0.1302,152948199,10565,0.1226,144725073,73354,0.1083,433521493
