日期,縣市,表燈非營業用電售電量(度),表燈非營業用電抄表戶數,表燈非營業用電佔比(%),表燈營業用電(住宅用)售電量(度),表燈營業用電(住宅用)抄表戶數,表燈營業用電(住宅用)用電佔比(%),無法歸類之家庭用電(電力用電)售電量(度),無法歸類之家庭用電(電力用電)抄表戶數,無法歸類之家庭用電(電力用電)用電佔比(%),合計
2023年05月,新北市,510670262,970023,0.1572,4478336,3276,0.2088,52619149,11337,0.2782,567767747
2023年05月,台北市,315933970,545108,0.0972,1553520,1510,0.0724,36592976,7684,0.1934,354080466
2023年05月,桃園市,300021025,568080,0.0923,2124279,1596,0.099,21801266,4004,0.1153,323946570
2023年05月,台中市,395920410,805906,0.1219,4087929,3401,0.1906,26490063,4876,0.14,426498402
2023年05月,台南市,279423360,639489,0.086,1432768,1521,0.0668,9309879,1527,0.0492,290166007
2023年05月,高雄市,440121996,972092,0.1355,2359032,2554,0.11,23484116,4531,0.1241,465965144
2023年05月,宜蘭縣,61991919,147103,0.0191,129601,132,0.006,1223019,317,0.0065,63344539
2023年05月,新竹縣,80536205,168462,0.0248,469762,439,0.0219,5125777,887,0.0271,86131744
2023年05月,苗栗縣,75921596,186254,0.0234,317022,454,0.0148,719401,202,0.0038,76958019
2023年05月,彰化縣,172148300,424343,0.053,1747370,2117,0.0815,1304368,407,0.0069,175200038
2023年05月,南投縣,59385797,140809,0.0183,361860,433,0.0169,287939,116,0.0015,60035596
2023年05月,雲林縣,105312344,277049,0.0324,524632,642,0.0245,386902,194,0.002,106223878
2023年05月,嘉義縣,71128026,186714,0.0219,398128,459,0.0186,226552,95,0.0012,71752706
2023年05月,屏東縣,129336499,293981,0.0398,647161,857,0.0302,1034629,357,0.0055,131018289
2023年05月,台東縣,28661992,61834,0.0088,84830,119,0.004,146967,65,0.0008,28893789
2023年05月,花蓮縣,45645126,95968,0.014,92651,55,0.0043,341943,148,0.0018,46079720
2023年05月,基隆市,42260970,90407,0.013,171697,232,0.008,2806300,924,0.0148,45238967
