日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2023年05月,新北市,247161441,186,0.0274,201952059,14955,0.1238,40431829,14332,0.223,489545329
2023年05月,台北市,23769733,27,0.0026,18317519,1946,0.0112,13111905,5984,0.0723,55199157
2023年05月,桃園市,1289957850,722,0.143,255875099,8248,0.1568,20193415,5785,0.1114,1566026364
2023年05月,台中市,1506508971,406,0.167,241641563,12625,0.1481,49958262,16522,0.2755,1798108796
2023年05月,台南市,1956187266,419,0.2168,205947907,11416,0.1262,9252356,4861,0.051,2171387529
2023年05月,高雄市,1360694889,552,0.1508,181802849,6675,0.1114,16980372,6969,0.0936,1559478110
2023年05月,宜蘭縣,106008416,60,0.0118,29278622,1272,0.0179,865680,867,0.0048,136152718
2023年05月,新竹縣,747512817,229,0.0829,61074811,1932,0.0374,2719087,1304,0.015,811306715
2023年05月,苗栗縣,426564300,150,0.0473,43755492,1415,0.0268,2958057,1384,0.0163,473277849
2023年05月,彰化縣,306167444,307,0.0339,165018079,15813,0.1011,13218867,6981,0.0729,484404390
2023年05月,南投縣,66061348,89,0.0073,30294380,1279,0.0186,1442920,775,0.008,97798648
2023年05月,雲林縣,198382323,92,0.022,46667836,2530,0.0286,1796198,1153,0.0099,246846357
2023年05月,嘉義縣,70806280,79,0.0078,50193543,2141,0.0308,1931625,1225,0.0107,122931448
2023年05月,屏東縣,71758877,124,0.008,40551996,1843,0.0249,2602187,1165,0.0144,114913060
2023年05月,台東縣,7782064,2,0.0009,2373318,358,0.0015,273530,351,0.0015,10428912
2023年05月,花蓮縣,60484584,16,0.0067,9856975,606,0.006,585515,425,0.0032,70927074
2023年05月,基隆市,9535804,16,0.0011,8314029,387,0.0051,464652,384,0.0026,18314485
2023年05月,新竹市,560264651,125,0.0621,29581256,1653,0.0181,1381559,882,0.0076,591227466
2023年05月,嘉義市,1888700,5,0.0002,4388055,560,0.0027,780210,661,0.0043,7056965
2023年05月,澎湖縣,2029333,2,0.0002,2349399,268,0.0014,167524,245,0.0009,4546256
2023年05月,金門縣,1830704,3,0.0002,1598629,288,0.001,161695,238,0.0009,3591028
2023年05月,連江縣,0,0,0,666727,67,0.0004,47240,25,0.0003,713967
2023年05月,合計,9021357795,3611,1,1631500143,88277,1,181324685,72518,1,10834182623
2023年04月,新北市,225710003,184,0.026419261,181961133,14957,0.120442314,33335284,13243,0.213401962,441006420
2023年04月,台北市,21392444,27,0.002503977,16775827,1944,0.011104126,5888208,3999,0.037694448,44056479
2023年04月,桃園市,1213393678,725,0.142027221,239467614,8246,0.158506562,17232095,5300,0.110314431,1470093387
2023年04月,台中市,1444267513,402,0.169050906,213881242,12623,0.141570627,43210145,14417,0.276617704,1701358900
2023年04月,台南市,1824744185,419,0.213585541,180167799,11409,0.119255284,9571841,5287,0.061275904,2014483825
2023年04月,高雄市,1351126096,551,0.158148743,196885155,6666,0.130320708,18125533,7077,0.116033939,1566136784
2023年04月,宜蘭縣,106791436,61,0.012499893,26664504,1266,0.017649563,1239622,1287,0.007935669,134695562
2023年04月,新竹縣,709641624,230,0.083063254,53856483,1925,0.035648269,2306411,1198,0.014764915,765804518
2023年04月,苗栗縣,386220450,149,0.045206942,40293940,1417,0.026671055,2234696,1070,0.014305818,428749086
2023年04月,彰化縣,284729502,309,0.033327469,150009268,15816,0.099292981,11155967,6865,0.071416978,445894737
2023年04月,南投縣,58136650,89,0.00680487,26670643,1278,0.017653627,1705947,1060,0.010920934,86513240
2023年04月,雲林縣,183333346,92,0.021459091,41478413,2530,0.027455072,1816899,1093,0.011631214,226628658
2023年04月,嘉義縣,62437992,78,0.007308341,51027569,2140,0.033775776,2178415,1100,0.013945525,115643976
2023年04月,屏東縣,64911731,125,0.007597891,36546048,1844,0.024190279,1981748,1143,0.012686525,103439527
2023年04月,台東縣,7696408,2,0.000900861,2289605,358,0.001515518,245335,338,0.001570557,10231348
2023年04月,花蓮縣,65687180,16,0.007688657,9265643,604,0.006133043,528914,472,0.00338594,75481737
2023年04月,基隆市,9346105,16,0.001093958,7707835,387,0.005101911,565192,427,0.003618181,17619132
2023年04月,新竹市,519346513,124,0.060789291,27671559,1652,0.018316146,1787436,855,0.011442601,548805508
2023年04月,嘉義市,1890600,5,0.000221294,3893910,559,0.002577427,806458,615,0.005162689,6590968
2023年04月,澎湖縣,1691600,2,0.000198001,2140564,266,0.001416866,116835,241,0.000747941,3948999
2023年04月,金門縣,893104,4,0.000104537,1488337,288,0.000985149,124083,202,0.00079434,2505524
2023年04月,連江縣,0,0,0,631045,66,0.000417696,51828,25,0.000331786,682873
2023年04月,合計,8543388160,3610,1,1510774136,88241,1,156208892,67314,1,10210371188
2023年03月,新北市,240495018,184,0.0275,191794964,14962,0.1193,38676202,14369,0.2255,470966184
2023年03月,台北市,22193036,27,0.0025,16800415,1938,0.0104,12039018,5997,0.0702,51032469
2023年03月,桃園市,1269638913,730,0.1452,247912330,8223,0.1542,19847052,5817,0.1157,1537398295
